Bull Name,Donator Name,Donator Email,Straws
Haroldson's Totem 200Z 5D,NCX Polled Herefords/Haroldsons Polled Herefords,NCX@placeholder.com,10
BR 213B Forty Creek 234F,YV Ranch,YV@placeholder.com,6
JKF 147E Avalanche 1H,Dallas Farms,Dallas@placeholder.com,4
Hills‐Galore 44Z Rewind 147E,Hills Galore Stock Farms,Hills@placeholder.com,2
Tlell 8N Red Zulu 1Z,Richardson Ranch,Richardson@placeholder.com,10
KCF Bennett Catalyst H472,Crittenden Land and Cattle,Crittenden@placeholder.com,6
SHF Horizon D287 H022,Crittenden Land and Cattle,Crittenden@placeholder.com,6
NJW 73S 38W Rimrock 27C ET,Blair Athol Polled Herefords/Glenlees Polled Herefords,Blair@placeholder.com,4
RSK 173D Command ET 91H,RSK Farms,RSK@placeholder.com,10
H Dominate 1404 ET,Wyatt Farms,Wyatt@placeholder.com,4
MH Dakota Lad 6238 1ET,Wyatt Farms,Wyatt@placeholder.com,4
CSC 701 Bolder 901,Semex,Semex@placeholder.com,6
NJW 160B 028X Historic 81E ET,Select Sires,Select@placeholder.com,4
Silver 26E Knight 23K,Breton West Herefords,Breton@placeholder.com,10
Silver Moon 23K 15M,Breton West Herefords,Breton@placeholder.com,10
Lone‐Pine Rebel 45R,Breton West Herefords,Breton@placeholder.com,10
AGA 121G Stanmore 20J,Lilybrook Herefords,Lilybrook@placeholder.com,Unlimited
LBH 38E Silver Pride 52N,Lilybrook Herefords,Lilybrook@placeholder.com,Unlimited
CC 77J Sterling 39T,Lilybrook Herefords,Lilybrook@placeholder.com,Unlimited
,,,
