,,
Result for,NCX Polled Herefords/Haroldsons Polled Herefords,at NCX@placeholder.com
Junior Name,Bull Name,Number of Straws
,Haroldson's Totem 200Z 5D,0
,,
Result for,YV Ranch,at YV@placeholder.com
Junior Name,Bull Name,Number of Straws
Cole,BR 213B Forty Creek 234F,2
Emma,BR 213B Forty Creek 234F,2
Libby,BR 213B Forty Creek 234F,2
,,
Result for,Dallas Farms,at Dallas@placeholder.com
Junior Name,Bull Name,Number of Straws
Ben,JKF 147E Avalanche 1H,2
Emma,JKF 147E Avalanche 1H,2
,,
Result for,Hills Galore Stock Farms,at Hills@placeholder.com
Junior Name,Bull Name,Number of Straws
Cole,Hills‐Galore 44Z Rewind 147E,2
,,
Result for,Richardson Ranch,at Richardson@placeholder.com
Junior Name,Bull Name,Number of Straws
,Tlell 8N Red Zulu 1Z,0
,,
Result for,Crittenden Land and Cattle,at Crittenden@placeholder.com
Junior Name,Bull Name,Number of Straws
Cole,KCF Bennett Catalyst H472,2
Cole,SHF Horizon D287 H022,2
,,
Result for,Blair Athol Polled Herefords/Glenlees Polled Herefords,at Blair@placeholder.com
Junior Name,Bull Name,Number of Straws
Ben,NJW 73S 38W Rimrock 27C ET,4
,,
Result for,RSK Farms,at RSK@placeholder.com
Junior Name,Bull Name,Number of Straws
,RSK 173D Command ET 91H,0
,,
Result for,Wyatt Farms,at Wyatt@placeholder.com
Junior Name,Bull Name,Number of Straws
Cole,H Dominate 1404 ET,2
,MH Dakota Lad 6238 1ET,0
,,
Result for,Semex,at Semex@placeholder.com
Junior Name,Bull Name,Number of Straws
Emma,CSC 701 Bolder 901,2
Libby,CSC 701 Bolder 901,2
,,
Result for,Select Sires,at Select@placeholder.com
Junior Name,Bull Name,Number of Straws
Ben,NJW 160B 028X Historic 81E ET,2
Libby,NJW 160B 028X Historic 81E ET,2
,,
Result for,Breton West Herefords,at Breton@placeholder.com
Junior Name,Bull Name,Number of Straws
Fred,Silver 26E Knight 23K,8
,Silver Moon 23K 15M,0
,Lone‐Pine Rebel 45R,0
,,
Result for,Lilybrook Herefords,at Lilybrook@placeholder.com
Junior Name,Bull Name,Number of Straws
,AGA 121G Stanmore 20J,0
,LBH 38E Silver Pride 52N,0
,CC 77J Sterling 39T,0
